,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Theme,Demographic,Genre,Demographics
42,Eyeshield21,アイシールド21,,,['TV'],145,Finished Airing,"Apr 6, 2005 to Mar 19, 2008",['Spring 2005'],Wednesdays at 19:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']","['VIZ Media', 'Sentai Filmworks']",['Gallop'],['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.91,#801,#1355,"189,274","2,064",91281,"Shy, reserved, and small-statured, Deimon High School student Sena Kobayakawa is the perfect target for bullies. However, as a result of running errands throughout his life, Sena has become agile and developed a skill for avoiding crowds of people. After the cunning Youichi Hiruma—captain of the Deimon Devil Bats football team—witnesses Sena's rapid legs in motion, he coerces the timid boy into joining his squad. As Hiruma wants to conceal Sena's identity from other clubs, Sena is forced to hide under the visored helmet of ""Eyeshield 21,"" a mysterious running back wearing the number 21 jersey. The legendary Eyeshield 21 can supposedly run at the speed of light and has achieved remarkable feats in the United States during his time at the Notre Dame College. Accustomed to avoiding his problems in the past, Sena's specialty might just help him become the new secret weapon of the Deimon Devil Bats. As he interacts with his teammates, Sena gradually gains more self-confidence and forges valuable bonds along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Eyeshield 21', '']",Eyeshield 21,,,['Team Sports'],['Shounen'],['Sports'],
43,The One Being Sung,うたわれるもの,Utawarerumono,,['TV'],26,Finished Airing,"Apr 4, 2006 to Sep 26, 2006",['Spring 2006'],Tuesdays at 02:40 (JST),"['Lantis', 'Half H.P Studio', 'AQUAPLUS']","['ADV Films', 'Funimation']",['OLM'],Visual novel,"['Action', 'Drama', 'Fantasy', 'Sci-Fi']",,23 min. per ep.,R - 17+ (violence & profanity),7.61,#1539,#1423,"177,021","1,189",67168,"An injured man is found in the woods by a girl named Eruruu, and everything about him is mysterious. Without knowledge of his past nor even his own name, he is welcomed to Eruruu's home and is given the name Hakuoro by her grandmother, and younger sister, Aruruu. While the inhabitants of the village have large ears and tails, Hakuoro's defining physical trait is quite different as he has neither ears nor tail, but only a mask that he cannot remove. Soon after he becomes a part of the villagers' lives, a revolution against the tyrannical emperor of the land begins, and the conflict finds its way to his new home. Hakuoro must do whatever he can to save the people and the village that he has come to love, all while uncovering the mysteries that shroud his past. [Written by MAL Rewrite]","['Sequel (TV) Utawarerumono: Itsuwari no Kamen', 'Sequel (OVA) Utawarerumono: Tusukuru-koujo no Karei Naru Hibi', 'Adaptation (Manga) Utawarerumono', '']",Utawarerumono,,Le Chant des Rêves,,,,
44,,スクールランブル 二学期,School Rumble: 2nd Semester,,['TV'],26,Finished Airing,"Apr 3, 2006 to Sep 25, 2006",['Spring 2006'],Mondays at 01:30 (JST),"['Sotsu', 'Marvelous Entertainment']",['Funimation'],['Studio Comet'],['Manga'],"['Comedy', 'Romance']","['Gag Humor', 'Love Polygon', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.98,#696,#1516,"167,126",814,93973,"We still have no idea what's really going on with this show, beyond the fact that the weirdness is piling up! Curry-fiend Karasama remains oblivious to Tenma's crush, and Harima still hasn't confessed his true feelings to Tenma. But hey, the thug's got an excuse since he's caught up with his comic career and knee-deep in a blizzard of deadlines! Meanwhile, the love triangles are ever-shifting thanks to wannabe cupids and runaway brides. Even when you throw in a bit of cyborg love, a shipwreck, and a fugitive red panda–seriously, that ain't even scratching the surface. You are encouraged to scratch the pig, though. He likes it! And something rumbles in the next to last episode, no matter what I say next. School Rumble–The absolutely funniest show you’ll ever see that's not about anything that rumbles... Ever! (Source: Funimation)","['Prequel (TV) School Rumble', 'Sequel (OVA) School Rumble San Gakki', 'Adaptation (Manga) School Rumble Read Manga', '']",School Rumble Ni Gakki,,School Rumble Saison 2,,['Shounen'],,
45,,ストロベリー・パニック,Strawberry Panic,,['TV'],26,Finished Airing,"Apr 4, 2006 to Sep 26, 2006",['Spring 2006'],Tuesdays at 02:45 (JST),"['Lantis', 'Dwango']",['Media Blasters'],['Madhouse'],Other,"['Drama', 'Girls Love']",,24 min. per ep.,PG-13 - Teens 13 or older,7.26,#3063,#1654,"149,031","1,888",60020,"Nagisa Aoi begins her new school life as a transfer student at St. Miator’s Girls Academy, one of three prestigious all-girls institutions atop Astraea Hill. Getting lost on her first day, Nagisa encounters a mysterious student whose elegance and charm is so bewitching, she ends up in the infirmary. There to greet her when she awakens is Tamao Suzumi, her roommate, who enthusiastically introduces Nagisa to the daily life and social structure on campus. Most notably, Tamao informs her of the existence of an exceptional student representative among all three schools—the Etoile, or ""star."" Eager to meet this person, Nagisa learns that the ethereal beauty she met earlier, Shizuma Hanazono, is the one and only Etoile herself! Not only that, Shizuma seems openly interested in Nagisa! Her interactions with Shizuma naturally make her a hot topic on campus; yet despite being so captivated, Nagisa can’t help but wonder if something is off. Strawberry Panic! follows the everyday routines of Nagisa, Shizuma, and her friends at St. Miator’s, St. Spica, and St. Lulim as they navigate through the challenge of relationships while confronting hidden feelings, lingering regrets, and new possibilities. [Written by MAL Rewrite]","['Adaptation (Manga) Strawberry Panic', 'Adaptation (Light Novel) Strawberry Panic']",Strawberry Panic,,,['School'],,,
46,,ウィッチブレイド,Witchblade,,['TV'],24,Finished Airing,"Apr 6, 2006 to Sep 21, 2006",['Spring 2006'],Thursdays at 01:45 (JST),"['GDH', 'SKY Perfect Well Think', 'Sotsu Music Publishing', 'Future Vision Music']",['Funimation'],['Gonzo'],Other,"['Action', 'Drama', 'Sci-Fi']","['Adult Cast', 'Super Power']",24 min. per ep.,R - 17+ (violence & profanity),7.20,#3387,#1937,"120,667",582,49017,"Masane Amaha and her daughter Rihoko are on the run from a government child welfare agency that wants to take Rihoko away from her mother. They are caught and Rihoko is taken away. Meanwhile, Masane is attacked by an advanced weapon that can disguise itself as a human being. When faced with the danger, a strange light emits from her wrist and she transforms into a powerful being. She destroys the weapon and consequently becomes involved in a power struggle between powerful organizations, with her at the center of their attention. Because she holds the greatest power of them all, the legendary Witchblade. (Source: AniDB)","['Adaptation (Manga) Witchblade Takeru', '']",Witchblade,,,,,,
47,"Tsubasa Chronicles - Second Season, Tsubasa: RESERVoir CHRoNiCLE",ツバサ・クロニクル 第2シリーズ,Tsubasa RESERVoir CHRoNiCLE Season Two,,['TV'],26,Finished Airing,"Apr 29, 2006 to Nov 4, 2006",['Spring 2006'],Saturdays at 18:25 (JST),['NHK'],['Funimation'],['Bee Train'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,7.57,#1677,#1941,"120,477",401,60317,"Syaoran, Sakura, Kurogane, Fai and Mokona's journey through to different world's continue as they search for Sakura's feathers. The fated journey slowly becomes more complicated for our travelers, as they find themselves diving deeper into more dangerous worlds.","['Prequel (TV) Tsubasa Chronicle', 'Adaptation (Manga) Tsubasa: RESERVoir CHRoNiCLE Read Manga']",Tsubasa Chronicle 2nd Season,Tsubasa CHRoNiCLE Staffel 2,Tsubasa CHRoNiCLE Saison 2,,['Shounen'],,
48,"The Tale of Saiun Country, Story of the Land of Many-Colored Clouds, Kokumono, Saimono, ColourCloud Palace",彩雲国物語,The Story of Saiunkoku,,['TV'],39,Finished Airing,"Apr 8, 2006 to Feb 24, 2007",['Spring 2006'],Saturdays at 09:00 (JST),"['NHK', 'Sogo Vision']","['Funimation', 'Geneon Entertainment USA']",['Madhouse'],['Light novel'],"['Adventure', 'Fantasy', 'Romance']","['Historical', 'Reverse Harem']",25 min. per ep.,PG-13 - Teens 13 or older,7.87,#885,#2212,"100,697","1,163",36161,"Shuurei Kou, the daughter of a noble yet impoverished family, is a clever young lady who dreams of becoming a government official and contributing toward her country. However, her dream is out of her reach as such a position is forbidden to women. While her father works a low wage job as an archivist at the palace, Shuurei has to juggle odd jobs to make ends meet. Then, one day, an unexpected visit changes her life. Shuurei is called to assist Ryuuki Shi, the new emperor who is known for slacking on his duties and preferring the company of men. Tempted by the generous compensation, she readily accepts the chance to become the young emperor's consort for six months. Luckily, she is not alone as Seiran Shi, her trusty friend, joins her as Ryuuki's bodyguard. While tasked with transforming the new emperor into a responsible ruler, court life and politics prove troublesome as Shuurei faces the challenges of her new life. Set in a fictional country, Saiunkoku Monogatari centers on the idea of meaningful leadership, its adversities and the rewards that come alongside a prospering nation. [Written by MAL Rewrite]","['Sequel (TV) Saiunkoku Monogatari 2nd Season', 'Adaptation (Manga) Saiunkoku Monogatari', 'Adaptation (Light Novel) Saiunkoku Monogatari', '']",Saiunkoku Monogatari,,,,['Shoujo'],,
49,,デジモンセイバーズ,Digimon Data Squad,Digimon 5 Data Squad,['TV'],48,Finished Airing,"Apr 2, 2006 to Mar 25, 2007",['Spring 2006'],Sundays at 09:00 (JST),['Fuji TV'],['Flatiron Film Company'],['Toei Animation'],Original,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",,23 min. per ep.,PG - Children,6.96,#4548,#2348,"91,521",332,53431,"Upon meeting for the first time, undefeated street fighter Masaru Daimon and renegade Digimon Agumon become friends in the most natural way possible for the knuckleheaded duo—by fighting their hearts out. The self-proclaimed ""ultimate team"" are recruited by a secret government organization called the Digital Accident Tactics Squad, or DATS, who had witnessed the unbelievable spectacle of a human fighting blow for blow with a Digimon. Their primary objective is investigating mysterious problems caused by Digimon entering the real world, and the world is currently in the midst of a crisis with Digimon appearing at an unprecedented rate. Embarking on various missions with DATS, Masaru and Agumon become colleagues with adolescent genius Touma Norstein and his Digimon partner Gaomon, along with the kind-hearted Yoshino ""Yoshi"" Fujieda and her Digimon partner Lalamon. As the group continues to investigate the rapid increase of Digimon in their world, a darker truth begins to surface. [Written by MAL Rewrite]",[],Digimon Savers,Digimon Data Squad,,,,,
50,,クレヨンしんちゃん,Shin Chan,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,21 min.,G - All Ages,7.80,#1029,#2402,"88,075","1,330",42189,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,Shin Chan,,['School'],['Seinen'],,
51,Aria 2,ARIA The NATURAL,Aria the Natural,,['TV'],26,Finished Airing,"Apr 3, 2006 to Sep 25, 2006",['Spring 2006'],Mondays at 01:00 (JST),"['TV Tokyo', 'Shochiku', 'Mag Garden']",['Nozomi Entertainment'],['HAL Film Maker'],['Manga'],"['Fantasy', 'Sci-Fi', 'Slice of Life']",,24 min. per ep.,G - All Ages,8.16,#450,#2510,"82,122",819,30970,"Akari Mizunashi continues her training to become a Prima Undine (a professional tour guide gondolier) along with her friends Aika and Alice in the peaceful city of Neo Venezia. Despite the fact that these three girls are from competing companies, they are constantly together, learning more about how to become better tour guides and more about the mysteries of Neo Venezia. As the group continues to meet interesting and unforgettable people through their daily routines, they will also come closer to the secrets that make the enigmatic and ever beautiful city of Neo Venezia so warm and alive. Welcome back to Neo Venezia: the city where miracles can be created by hand. [Written by MAL Rewrite]","['Prequel (TV) Aria the Animation', 'Sequel (OVA) Aria the OVA: Arietta', 'Adaptation (Manga) Aria', '']",Aria the Natural,,,['Iyashikei'],['Shounen'],,
52,Fang,牙-KIBA-,Kiba,,['TV'],51,Finished Airing,"Apr 2, 2006 to Mar 25, 2007",['Spring 2006'],Sundays at 08:30 (JST),"['Aniplex', 'Ashi Productions', 'Sony Music Entertainment']","['ADV Films', 'Sentai Filmworks']",['Madhouse'],Original,"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.28,#2943,#2544,"80,715",449,33965,"In a dystopian future, two friends dream of freedom... and gain more than they bargain for! Hothead Zed is on the run from the authorities, while his brainy pal Noah struggles with his own battered body. Both find a magical world that seems to offer escape and power undreamed of. Join Zed and his powerful, rebellious spirit Amir Gaul on their search for the ultimate power. It's a force that can save the world—or destroy life as we know it. This is the world of KIBA! Where you must harness the power within and fight with all you got! (Source: RightStuf)",[],Kiba,,,['Isekai'],,,
53,Sergeant Frog,ケロロ軍曹,Sgt. Frog,,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1300,#2552,"80,341","1,283",35925,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,,,['Parody'],['Shounen'],,
54,,.hack//Roots,.hack//Roots,,['TV'],26,Finished Airing,"Apr 6, 2006 to Sep 28, 2006",['Spring 2006'],Thursdays at 01:30 (JST),"['TV Tokyo', 'Bandai Visual', 'CyberConnect2']","['Funimation', 'Bandai Entertainment']",['Bee Train'],Original,"['Adventure', 'Drama', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.85,#5101,#2630,"76,097",234,36010,"After the termination of the incredibly popular virtual reality MMORPG ""The World,"" a new version of the game—The World R:2—is brought online. On his first day in the game, newcomer Haseo thinks he has made some friends to quest with. However, as if mocking his sentiments, they kill his character just for fun. Luckily, he is saved by a mysterious, one-armed player named Ovan who offers to show him around The World. Alongside Ovan and his cleric friend Shino, Haseo enjoys a wonderful first year in the game. But this peaceful life is shattered when Shino's character is killed by a familiar figure notoriously known as Tri-Edge, whose victims have all fallen into comas in the real world. In a fit of rage, Haseo vows to find the elusive Tri-Edge and kill him. Taking place during Haseo's first year in The World, .hack//Roots explores the friendships Haseo built in the game before Tri-Edge ripped them away. [Written by MAL Rewrite]","['Prequel (TV) .hack//Sign', 'Prequel (TV) .hack//Tasogare no Udewa Densetsu', 'Sequel (Movie) .hack//G.U. Trilogy', '']",.hack//Roots,,,['Video Game'],,,
55,Dog Gods!,いぬかみっ!,,,['TV'],26,Finished Airing,"Apr 6, 2006 to Sep 28, 2006",['Spring 2006'],Unknown,"['Starchild Records', 'Yomiko Advertising', 'ASCII Media Works']",['Discotek Media'],['Seven Arcs'],['Light novel'],"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.21,#3346,#2744,"71,262",202,29455,"Kawahira Keita is a descendant of a historic Inukami tamer family; however, because he lacked in its ability, he was forsaken by the family. One day, an Inukami named Youko came. She looked graceful, obedient, above all, beautiful. Soon he contracted with her, and she paid homage to him. However, she was a problematic Inukami that no one had been able to control. This is a slap stick comedy of an Inukami Tamer, Keita and an Inukami, Youko. Keita is a man of worldly passions, and he likes money and girls very much. On the other hand, Youko likes to destroy things and is very jealous. (Source: AnimeNfo)","['Adaptation (Manga) Inukami!', 'Adaptation (Light Novel) Inukami!']",Inukami!,,,,,,
56,Ah! My Goddess: Sorezore no Tsubasa,ああっ女神さまっ　それぞれの翼,Ah! My Goddess: Flights of Fancy,,['TV'],22,Finished Airing,"Apr 7, 2006 to Sep 15, 2006",['Spring 2006'],Fridays at 01:55 (JST),"['TBS', 'Kodansha', 'Imagine']","['ADV Films', 'Funimation', 'NYAV Post']",['AIC'],['Manga'],"['Comedy', 'Romance', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.54,#1815,#2795,"69,007",166,36351,"One year after goddess Belldandy emerged from Keiichi Morisato's mirror and promised to stay with him forever, a new threat to their happiness emerges, one that could end the contract between Belldandy and Keiichi.","['Prequel (TV) Aa! Megami-sama! (TV)', 'Sequel (Special) Aa! Megami-sama! Sorezore no Tsubasa Specials', 'Adaptation (Manga) Aa! Megami-sama!', '']",Aa! Megami-sama! Sorezore no Tsubasa,,Ah My Goddess Saison 2,['Harem'],['Seinen'],,
57,"Marchen Awakens Romance, Märchen Awakens Romance, MAR-Heaven, MÄR Heaven",メル,,,['TV'],102,Finished Airing,"Apr 3, 2005 to Mar 25, 2007",['Spring 2005'],Sundays at 10:00 (JST),"['TV Tokyo', 'Shogakukan Productions']",['VIZ Media'],['SynergySP'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.24,#3137,#3158,"54,721",313,22322,"Dreaming of a magical world every night, the young Toramizu Ginta yearns to be able to go there. With only his friend Koyuki believing in his dreams, Ginta remains positive despite the slander he receives from others over his dreams. But his wishes are answered, as one day a large door appears in front of Ginta, summoning him to the land of MAR Heaven. In this land, the weapons known as ARMS exist. While initially Ginta greatly enjoyed the discovery of this magical world, he soon learns of the terrible wars that have once plagued MAR Heaven and the upcoming war that may soon appear.","['Adaptation (Manga) MÄR', '']",MÄR,,Mär: Märchen Awakens Romance,['Isekai'],['Shounen'],,
58,Kami-sama Kazoku,神様家族,,,['TV'],13,Finished Airing,"May 18, 2006 to Aug 10, 2006",['Spring 2006'],Thursdays at 22:30 (JST),"['Animax', 'Sony Music Entertainment']","None found,",['Toei Animation'],['Light novel'],"['Comedy', 'Fantasy', 'Romance']","['Mythology', 'School']",25 min. per ep.,PG-13 - Teens 13 or older,7.09,#3924,#3347,"49,348",88,22723,"Samatarou is not just an average high-school boy, the truth is that he is the son of a god, his mother is a goddess and his sisters are candidates to become goddesses. They are living in the human world, because they want their boy to learn about the human customs and the habits of the creatures that they are protecting, so that in this way Samatarou will become a better god. Tenko is a angel assigned to look after Samatarou. She's born the same day, same year as Samatarou and have been close friends ever since. Life seems normal but things start to change with the appearance of a transfer student named Kumiko. Samatarou falls in love with her and from now on, things will be a lot more different for him. His decision of making her fall in love with him without using his powers will put him in trouble.","['Adaptation (Manga) Kamisama Kazoku', 'Adaptation (Light Novel) Kamisama Kazoku']",Kamisama Kazoku,,,,,,
59,"Shimuun, Simoon",シムーン,,,['TV'],26,Finished Airing,"Apr 4, 2006 to Sep 26, 2006",['Spring 2006'],Tuesdays at 01:30 (JST),"['Bandai Visual', 'Sotsu', 'TV Tokyo Music']",['Media Blasters'],['Studio Deen'],Original,"['Drama', 'Fantasy', 'Girls Love', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.41,#2329,#3532,"44,888",438,12434,"The verdant, peaceful country of Simulacrum resides on the planet of Daikuuriku. The country owes its existence to flying machines called Simoun and their holy Sibylla pilots. Powered by ancient artifacts, these ships can utilize Ri Maajon, frighteningly powerful abilities that can tear the very sky apart. Aaeru is a wilful girl who joins the ranks of the Sibylla priestesses at Chor Tempest in hopes of being able to pilot a Simoun one day. But soon after she enlists, Simulacrum is plunged into a war, as hostile nations desperately try to claim the technology for themselves. Hoping to save their respective lands from doom, these nations at peril believe the Simoun are the key to preventing disaster. Now struggling against their enemies and dealing with personal losses, the girls of Chor Tempest have no choice but to adapt to their situation if they are to have any chance at unraveling the mysteries that lie at the heart of their country: the Simoun and the Ri Maajon. [Written by MAL Rewrite]","['Adaptation (Manga) Simoun', '']",Simoun,,,['Military'],,,
60,"Roar of the Machine God Demonbane, Kishin Houkou Demonbane (2006)",機神咆吼デモンベイン,,,['TV'],12,Finished Airing,"May 19, 2006 to Aug 18, 2006",['Spring 2006'],Fridays at 00:00 (JST),"['WOWOW', 'Kadokawa Shoten']","None found,",['Viewworks'],Visual novel,"['Action', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']","['Harem', 'Mecha']",25 min. per ep.,R - 17+ (violence & profanity),6.52,#6916,#3862,"37,859",39,13801,"Kurou Daijuuji is a poor detective living in Arkham City. One day, he was requested by Ruri Hado of Hado Financial Group, to search for a magic book. While he initially refused, Ruri offered him a large sum of money upon completion of her request, in which bribed Kuro to accept. As Kurou searches for the book, he unexpectedly runs into Al, a pretty girl that is actually a powerful grimoire. They forge a contract with each other, bestowing Kuro with powerful magic. Soon afterwards, Al also activates Demonbane, a deus machina owned by the Hado Financial Group, to combat the mechanical menace from the Black Lodge. With this, the war between the Hado Financial Group and the Black Lodge begins.... (Source: ANN)","['Adaptation (Light Novel) Zanmataisei Demonbane', 'Adaptation (Manga) Kishin Houkou Demonbane']",Kishin Houkou Demonbane (TV),,,,,,
61,,ゼーガペイン,Zegapain,,['TV'],26,Finished Airing,"Apr 6, 2006 to Sep 28, 2006",['Spring 2006'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Dentsu', 'Atelier Musa']","['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Action', 'Romance', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.28,#2910,#3958,"35,809",170,11547,"Average high school student Kyou Sogoru is an avid swimmer living in beautiful Maihama City. He spends his days hanging out with friends, swimming, and playing video games. However, his normal life turns upside down when a beautiful and mysterious girl named Shizuno Misaki approaches him with a strange request—jump into their school's pool together. This fateful leap transports Kyou into a war-torn world where humans pilot impressive humanoid robots known as Zegas to fight against malicious aliens known as Gards-Orm. To spearhead this endeavor, humans have formed Cerebrum, a rebel organization working to prevent the Gards-Orm from eradicating humankind. As Kyou participates in combat operations, meets his fellow Zega pilots, and witnesses countless deaths, he begins to question the true nature of this world as well as his own life. [Written by MAL Rewrite]","['Sequel (Movie) Zegapain: STA', '']",Zegapain,,,['Mecha'],,,
62,,きらりん☆レボリューション,Kirarin Revolution,,['TV'],153,Finished Airing,"Apr 7, 2006 to Mar 27, 2009",['Spring 2006'],Fridays at 18:00 (JST),"['MediaNet', 'Sony Music Entertainment', 'Shogakukan Productions']","None found,","['SynergySP', 'G&G Entertainment']",['Manga'],"['Comedy', 'Drama', 'Romance']",,22 min. per ep.,PG-13 - Teens 13 or older,7.08,#4008,#4051,"34,228",275,14290,"Kirari Tsukishima, a gluttonous 14-year-old beauty, is a girl who does not care about idols and the entertainment world because her mind is occupied by food. Her obsession with food only causes her to be clueless about love. One day, after saving a turtle that is stranded in a tree, Kirari meets with a handsome and gentle boy named Seiji, who gives her ticket to a SHIPS (a popular idol group) concert to show his gratitude for her saving his pet. Kirari then storms off to the concert and runs into another boy, who tears up her ticket and warns her to stay away from Seiji because she and Seiji live in different worlds. The outraged Kirari then sneaks into the concert, only to discover that Seiji and the boy who tore her ticket, named Hiroto, are actually members of SHIPS. Finally understanding the meaning of ""different worlds"" (Seiji is a popular idol while she is an average middle school student), Kirari refuses to give up. Filled with determination to be with Seiji, she declares that she will also become an idol. (Source: Wikipedia)","['Adaptation (Manga) Kirarin☆Revolution', '']",Kirarin☆Revolution,,,['Showbiz'],['Shoujo'],,
63,,カペタ,,,['TV'],52,Finished Airing,"Oct 4, 2005 to Sep 26, 2006",['Fall 2005'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu', 'Marvelous Entertainment', 'Delfi Sound']","None found,",['Studio Comet'],['Manga'],,,23 min. per ep.,PG - Children,7.82,#988,#4399,"28,825",316,12459,"After losing his mother at a very young age, elementary school student Capeta Taira is forced to become more independent to avoid his father worrying for him. Working in a paving company, his father is often busy and has to work overtime to make ends meet. However, no matter how tough he acts in front of his father, Capeta is ultimately just a lonely kid with a rough life. In addition to his typical house duties, he has to deal with the bully Nobu Andou which makes him feel worse, despite support from his classmate, Monami Suzuki. One day, Capeta's father sees young go-kart drivers racing at high speeds and gets inspired by the scene. He then decides to collect scrapped parts available on the track and begins working on a gift for his son. Meanwhile, Capeta and Monami sneak into his workplace, suspecting that his father is up to something. Much to their surprise, they see a go-kart built from discarded parts—with Capeta's name attached to it! Although it lacks an engine and looks worn out, the kart is mostly complete and functional. Despite the heavy rain, Capeta cannot resist the urge to try out this new machinery. As he drives the kart downhill on a wet road, an incident that is almost a dangerous accident instead becomes a thrilling obsession. No longer bored with life, the engine of Capeta's heart is ignited with a new passion as he journeys into the world of racing. [Written by MAL Rewrite]","['Adaptation (Manga) Capeta', '']",Capeta,,,['Racing'],['Shounen'],['Sports'],
64,The Third: The Girl with the Blue Eye,ザ・サード 蒼い瞳の少女,,,['TV'],24,Finished Airing,"Apr 14, 2006 to Oct 27, 2006",['Spring 2006'],Fridays at 00:30 (JST),['Kadokawa Shoten'],"['Nozomi Entertainment', 'Kadokawa Pictures USA']",['Xebec'],['Light novel'],"['Action', 'Adventure', 'Sci-Fi']",,23 min. per ep.,R - 17+ (violence & profanity),7.29,#2893,#4863,"22,877",94,8325,"In the distant future, because of an interplanetary war that had continued on for centuries, civilizations were ruined. Human beings have lost everything, and only 1/5th of the population survived. A strange breed of humans, ''The Third'' is said to have appeared just after the war. They possess a third eye, as their name suggests, that appear as oval-shaped red pupils called ""space eyes'' over their conventional two eyes. Using them, they can control computer systems and so on, and as such, rule the world by their superior power over technology. In this world, there is a young woman named Honoka; she is a ""jack-of-all-trades"" sellsword, and she accepts any job except murder. One day, she happens to find and rescue a young man named Ikus in the desert. Entering his world, and accepting a job from him, the adventure begins for Honoka and Ikus. (Source: BestAnime, modified)","['Adaptation (Manga) The Third: Sabaku no Hoshi no Apprentice Girl', 'Adaptation (Light Novel) The Third']",The Third: Aoi Hitomi no Shoujo,,The Third,,,,
65,,ドラえもん (2005),,,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",,25 min.,PG - Children,7.71,#1261,#5003,"21,432",239,9594,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,['Anthropomorphic'],,,"['Kids', 'Shounen']"
